tier,case,anchor,req,cat,meshes,cells,nres,dx,ranks_str,firebot,t_end,steps_est,cost,PI,wall_s,mem_gb,fits,tclass,derive,verifies,judge,notes
T1,Pressure_Solver/obst_activation_default.fds,,,"a,b",4,1024,1,0.05x0.002x0.05,4,4,2.0,400,dns,1,3,0.1,yes,T2 vs FFT baseline; T1 vs GLMAT copy (FR-002) / T2,,"Divergence stays at machine zero when OBSTs appear/disappear inside, across and abutting mesh boundaries (FFT solver)","dataplot: D_max, Absolute Error, metric max, tol 1e-13",
T1,Pressure_Solver/obst_activation_ulmat.fds,,,b,4,1024,1,0.05x0.002x0.05,4,4,2.0,400,dns,1,3,0.1,yes,T2 vs FFT baseline; T1 vs GLMAT copy (FR-002) / T2,,"Same with ULMAT (unstructured local matrix; HYPRE on GNU build, PARDISO on Intel)","dataplot: D_max, Absolute Error, max, tol 1e-13",
T1,Flowfields/divergence_test_3.fds,,,"a,b",4,12000,1,0.001x0.002x0.001,4,4,2.0,1112,dns,1,13,0.1,yes,T2 vs FFT baseline; T1 vs GLMAT copy (FR-002) / T2,,Divergence constraint on 4-mesh 2-D channel with random OBST create/remove,"dataplot: div_min|div_max, Absolute Error, end, tol 1e-10",
T1,Flowfields/divergence_test_2.fds,,,"b,c",1,81,1,0.111111x0.1x0.111111,1,1,10.,2000,iso3d,1,3,0.1,yes,T1 (T0 stretch) / T2,,Volume integral of divergence = 0 in sealed box with internal mass source (divergence theorem),"dataplot: Vdot, Absolute Error, end, tol 1e-10",
T1,Pressure_Solver/dancing_eddies_1mesh.fds,,,"a,b",1,12000,1,0.001x0.002x0.001,1,1,2.0,1778,dns,1,46,0.1,yes,T1 (T0 stretch) / T2,,Single-mesh reference for the dancing_eddies multi-mesh comparisons,used as expected data (d1) for dancing_eddies_* pres comparisons,
T1,Pressure_Solver/dancing_eddies_default.fds,,,"a,b",4,12000,1,0.001x0.002x0.001,4,4,2.0,1778,dns,1,18,0.1,yes,T2 vs FFT baseline; T1 vs GLMAT copy (FR-002) / T2,,4-mesh vortex street vs 1-mesh: pressure at probe after eddies cross mesh interfaces (default FFT + iteration),"dataplot: pres vs 1mesh, Absolute Error, end, tol 0.01 Pa",
T1,Pressure_Solver/dancing_eddies_uglmat_refine.fds,,,"a,b",4,7600,2,0.001x0.002x0.001;0.002x0.002x0.002,4,4,2.0,1778,dns,1.5,18,0.1,yes,"T1 vs baseline, same solver, if the legacy multi-resolution path is kept in uniform mode (else T2) / T2",,"Coarse/fine meshes side by side (2:1, 76x40 | 38x20) with global UGLMAT (HYPRE) Poisson solve; closest existing analogue to a static 2-level AMR hierarchy","dataplot: iterations & cpu only (N/A, plotted, no tolerance) -> V&V adds regression + pres-vs-1mesh (informational)",
T1,Pressure_Effects/obst_coarse_fine_interface.fds,,,a,2,171,2,0.25x0.25x0.25;0.5x0.5x0.5,2,1,10,300,iso3d,1,3,0.1,yes,"T1 vs baseline, same solver, if the legacy multi-resolution path is kept in uniform mode (else T2) / T2",,OBST adjacent to a coarse(0.5 m)/fine(0.25 m) mesh interface; background-pressure difference between two sides,"dataplot: DP vs exact, Absolute Error, end, tol 2 Pa",firebot runs 1 rank; 2 ranks also valid
T1,Adaptive_Mesh_Refinement/random_meshes.fds,yes,FR-043,a,5,1600,2,0.05x0.2x0.05;0.1x0.2x0.1,4,4,300.,2000,iso2d,3,7,0.1,yes,"T1 vs baseline, same solver, if the legacy multi-resolution path is kept in uniform mode (else T2) / T2",,"Five randomly overlapping meshes, 2 resolutions, fine mesh embedded in coarse; 5 meshes on 4 ranks via MPI_PROCESS; volume-flow conservation through the domain","dataplot: Vdot vs 0.012 m3/s, Relative Error, end, tol 0.02",
T1,Adaptive_Mesh_Refinement/ns2d_16_int_1to2_refinement.fds,yes,"FR-016,FR-014,A-09","a,e",13,448,2,0.19635x0.1x0.19635;0.392699x0.1x0.392699,1,13 (commented),30.0,1834,dns,10,31,0.1,yes,"T1 (FR-001 style, same solver) / T2 vs baseline error; FR-016(a) T0 ghost fill (unit); T3 vs ns2d_32",,"FR-016 primary case: fine 16x16 patch (dx=pi/16) ABUTTING a ring of 12 coarse 4x4 meshes (dx=pi/8), ratio 2, periodic 2-D NS, nu~0; default FFT + iteration (VELOCITY_TOLERANCE 1e-6, max 100)","No FDS criterion: commented out of FDS_Cases.sh (lines 4-6) by 042aa2624d (McDermott, 2024-11-08) ""demonstrating errors in both embedded mesh strategy and interpolated refinement""; no dataplot row, not in Verif. Guide. V&V metric (A-09): completes to T_END without NaN/instability; RMS and probe u,p error vs analytic (ns2d.py method) recorded as baseline value",13 meshes: 1 rank as-is (no MPI_PROCESS); firebot comment used -p 13 (oversubscribes 8 cores; allowed for a tiny case)
T1,VV/ns2d_16_int_1to2_refinement_uglmat.fds,,"FR-016(c,d)","a,b,e",13,448,2,0.19635x0.1x0.19635;0.392699x0.1x0.392699,1,- (derived (V&V)),30.0,1834,dns,2,9,0.1,yes,T1 vs itself on rerun (T0 expected) / reference for FR-016(c) H rule and (d) T2,copy of ns2d_16_int_1to2_refinement with &PRES SOLVER='UGLMAT HYPRE' (drop VELOCITY_TOLERANCE/MAX_PRESSURE_ITERATIONS); CHID suffix _uglmat,FR-016 reference solution: same geometry with the global UGLMAT/HYPRE solve (exact normal velocity at the 2:1 seam; pres.f90 handles refinement and periodic seams),"V&V: must complete (A-09b); records H, u at probe; normal-velocity mismatch at seam from CHECK_POISSON output ~ machine zero",
T1,Adaptive_Mesh_Refinement/ns2d_16_emb_1to2_refinement.fds,yes,"FR-014,A-09 (FR-016 disputed)","a,e",2,512,2,0.19635x0.1x0.19635;0.392699x0.1x0.392699,2,2 (commented),30.0,1834,dns,10,17,0.1,yes,T1 / T2 vs baseline error; T3 vs ns2d_32 (FR-014),,"Fine 16x16 mesh EMBEDDED in (overlapping) a coarse 16x16 periodic mesh, ratio 2: FDS embedded-mesh strategy","No FDS criterion: commented out of FDS_Cases.sh (lines 4-6) by 042aa2624d (McDermott, 2024-11-08) ""demonstrating errors in both embedded mesh strategy and interpolated refinement""; no dataplot row, not in Verif. Guide. V&V metric (A-09): completes to T_END without NaN/instability; RMS and probe u,p error vs analytic (ns2d.py method) recorded as baseline value","Overlapping meshes: UGLMAT not applicable (User Guide: UGLMAT is for non-overlapping meshes), so no FR-016 UGLMAT reference exists for this case"
T1,Atmospheric_Effects/lapse_rate.fds,,,a,4,4000,1,1x1x1,4,1,1.0,100,iso3d,1,3,0.1,yes,T2 vs FFT baseline; T1 vs GLMAT copy (FR-002) / T2,,Hydrostatic T and p lapse across 4 vertically stacked meshes,"dataplot: T,P profiles, Relative Error, end, tol 1e-3",firebot uses 1 rank
