relation,from,to,index_domain,declared,set_at,used_at,amr_notes
cell_index,"CELL_INDEX(I,J,K)",IC -> CELL(IC),"I,J,K in 0:IBP1 (1 ghost ring); IC in 0:CELL_COUNT(NM)","mesh.f90:225 (CELL_INDEX), mesh.f90:226 (CELL)","read.f90:11622-11688 (READ_OBST): IC>0 only for the 2-cell shell I=0,1,IBAR,IBP1 (same for J,K) and cells OB%I1..OB%I2+1 of every OBST; all other cells keep IC=0","mass.f90:106, 446; func.f90:5478-5480 (FIND_WALL_INDEX)","Sparse, mesh-local, sequential numbering. CELL(0) is the shared 'plain gas cell'. A box must rebuild CELL_INDEX/CELL for its own extent; IC is not portable between boxes or through regrid."
cell_attrs,CELL(IC),"SOLID, EXTERIOR, EXTERIOR_EDGE, OBST_INDEX, I/J/K, EDGE_INDEX(12), WALL_INDEX(-3:3), SURF_INDEX(-3:3), THIN_WALL_INDEX/THIN_SURF_INDEX/THIN_OBST_INDEX(-3:3,1:3)",per cell,type.f90:2175-2187 (CELL_TYPE),exterior ring made SOLID by BLOCK_CELL (read.f90:11697-11702); OBST interiors blocked (read.f90:11708); ghost reopened at interpolated boundaries (init.f90:3281),"mass.f90:108 (SOLID/EXTERIOR), mass.f90:831 (WALL_INDEX)",EXTERIOR/SOLID of ghost cells encode 'outside this mesh'. At a box face a ghost must be SOLID=F when interpolated (init.f90:3281) or the stencils treat it as a wall.
cell_to_wall,CELL(ICG)%WALL_INDEX(-IOR),IW (WALL index),IW in 0:N_WALL_CELLS; 0 = no wall,type.f90:2182,init.f90:3298 (INIT_WALL_CELL; external walls too); also obstruction faces init.f90:195-330,"mass.f90:140-178, 831-836; init.f90:1951 via FIND_WALL_INDEX",Every box face of a gas cell needs a wall index. It is the barrier that stops mass redistribution (kernel_footprint_mass.md §4.4).
wall_numbering_external,WALL(1:N_EXTERNAL_WALL_CELLS),mesh boundary faces,N_EXTERNAL_WALL_CELLS = 2*IBAR*JBAR+2*IBAR*KBAR+2*JBAR*KBAR (read.f90:700),mesh.f90:291,"init.f90:74-107 (INITIALIZE_WALL_ARRAY): order IOR=+1 (I=0), -1 (I=IBP1) over (K,J); then +-2 over (K,I); then +-3 over (J,I)","mass.f90:424, 595 (IW<=N_EXTERNAL_WALL_CELLS)","External walls always come first and their IW is a closed-form function of (IOR, face position). EXTERNAL_WALL(IW) and UVW_SAVE(IW) share this index. Box faces map 1:1."
wall_numbering_internal,WALL(N_EXTERNAL+1:N_WALL_CELLS),obstruction faces,IW = N_EXTERNAL_WALL_CELLS + N_INTERNAL_WALL_CELLS (incremented),mesh.f90:291,"init.f90:195-330 (obstruction faces; IW reused if CELL%WALL_INDEX already set, init.f90:203-210)",mass.f90:93 (loop 1..N_EXT+N_INT),"Assigned in order of discovery, so not stable under regrid or obstruction creation/removal (REASSIGN_WALL_CELLS, init.f90:5130)."
wall_zero,WALL(0),dummy wall,index 0,init.f90:48 (ALLOCATE WALL(0:N_WALL_CELLS_DIM)),"init.f90:51-52 (BOUNDARY_TYPE=NULL_BOUNDARY, SURF_INDEX=DEFAULT)",,WALL_INDEX=0 lookups land on a valid NULL wall; the shim must keep element 0.
wall_to_boundary_storage,WALL(IW)%BC_INDEX / OD_INDEX / TD_INDEX / B1_INDEX / B2_INDEX / BR_INDEX,BOUNDARY_COORD / BOUNDARY_ONE_D / BOUNDARY_THR_D / BOUNDARY_PROP1 / BOUNDARY_PROP2 / BOUNDARY_RADIA slots,slot indices 1:N_BOUNDARY_*_DIM,type.f90:436-441 (WALL_TYPE); mesh.f90:305-306 (storage arrays),func.f90:4003-4034 (ALLOCATE_STORAGE WALL branch) -> ALLOCATE_BOUNDARY_COORD_ARRAYS func.f90:4110-4134 etc.; first free slot from NEXT_AVAILABLE_*_SLOT and *_OCCUPANCY (mesh.f90:311-318),"mass.f90:96-97, 227-228",Indirection with slot reuse: BC_INDEX is not equal to IW in general. The shim must allocate storage via ALLOCATE_STORAGE or replicate the slot bookkeeping.
boundary_coord,BOUNDARY_COORD(BC),"II,JJ,KK (1st ghost/solid cell), II2,JJ2,KK2 (2nd ghost), IIG,JJG,KKG (gas cell), IOR, X,Y,Z, X1..Z2, NVEC",cell indices in 0:IBP1 (II2: -1:IBP1+1),type.f90:189-212,init.f90:3328-3355 (INIT_WALL_CELL),mass.f90:99-105; wall.f90:342-386,"Pure local (I,J,K) coordinates. They can be regenerated per box from the face geometry."
external_wall,"EXTERNAL_WALL(IW), IW<=N_EXTERNAL_WALL_CELLS","NOM, NIC_MIN/MAX/NIC, IIO/JJO/KKO_MIN/MAX, PRESSURE_BC_TYPE, BOUNDARY_TYPE_PREVIOUS, SURF_INDEX_ORIG, AREA_RATIO, DUNDT, FVN/FVNS, RHO_D_DZDN(S)",same IW as WALL,type.f90:462-482,"init.f90:3317-3326 (NOM, IIO..KKO ranges); main.f90:2110-2137 (NIC_MIN/MAX, AREA_RATIO); velo.f90:2667 (BOUNDARY_TYPE_PREVIOUS)",wall.f90:319-339; velo.f90:2724-2803; mass.f90:597-598,Neighbour mesh id and index range: the coarse/fine interface descriptor (see interface_averaging_sites.csv). For AMReX these come from the BoxArray/FabArray neighbour geometry.
omesh_recv_index,EWC%NIC_MIN:NIC_MAX,OMESH(NOM)%IIO_R/JJO_R/KKO_R/IOR_R(1:NIC_R),receive list per neighbour,main.f90:2093-2099 (DEFINITION comments),"main.f90:2108-2114 (NIC_MIN/NIC/NIC_MAX), main.f90:2144-2163 (allocate & fill IIO_R.., e.g. main.f90:2157)",main.f90:3704-3733 (CODE 1/4 unpack),MPI exchange lists are built from the EWC ranges. Replaced by FillBoundary/FillPatch in AMReX.
