category,file,line,routine,phase,expression,stretch_aware,curated,amr_impact,notes
upstream_slip,read.f90,11193,READ_INPUT::READ_OBST,setup,"IF(GINV(XB3-XS,2,NM)-REAL(OB%J1,EB) < REAL(OB%J2,EB) - GINV(XB4-YS,2,NM))",no,yes,bit-parity,A-20. y-branch of the thin-OBST collapse uses XB3-XS where XB3-YS is expected. Also in master (ce1f659 read.f90:11060). Level 0 must reproduce it for bit-parity; fix only behind a flag.
upstream_slip,read.f90,11210,READ_INPUT::READ_OBST,setup,"IF(GINV(XB5-ZS,3,NM)-REAL(OB%I1,EB) < REAL(OB%I2,EB) - GINV(XB6-ZS,3,NM))",no,yes,bit-parity,A-20. z-branch compares against OB%I1/OB%I2 where OB%K1/OB%K2 is expected. Also in master (ce1f659 read.f90:11077). Level 0 must reproduce it for bit-parity.
unit_mix,read.f90,11176,READ_INPUT::READ_OBST,setup,"IF(GINV(XB1-XS,1,NM)-REAL(OB%I1,EB) < REAL(OB%I2,EB) - GINV(XB2-XS,1,NM))",no,yes,bit-parity,"All three collapse branches (read.f90:11176, 11193, 11210) subtract an integer cell index from GINV(..) which is a length (m): OB%I1 = NINT(GINV(XB1-XS,1,NM)*RDXI) (read.f90:11157). The test is dimensionally consistent only for 1 m cells; for dx<1 m the left side is almost always smaller, so thin OBSTs collapse to the lower face. Resolution-dependent: the same OBST can snap to different faces on different levels. (Derived from the code; not run.)"
implicit_ratio_limit,init.f90,3161,INIT::INIT_WALL_CELL,runtime+setup,XIN = XW + (ITER*0.95_EB-0.475_EB)*(M%X(I)-M%X(I-1)),yes,yes,design,"Probes sit 0.025 of the coarse face width from each edge. They land in the first/last fine cell only if the fine cell is wider than 0.025*dx_coarse, i.e. tangential ratio < 40; otherwise the range misses the edge cells and the ERROR(431) span test fails (init.f90:3194-3208). Derived, not run."
solver_restriction,init.f90,2366,INIT::INITIALIZE_POISSON_SOLVER,setup,ERROR(425): MESH can stretch in at most 2 coordinate directions,n/a,yes,design,The default FFT (CRAYFISHPAK) path needs at least one uniform direction (init.f90:2360-2370).
solver_restriction,pres.f90,541,PRES::TUNNEL_POISSON_SOLVER,runtime,TP_RDXN(I_OFFSET(NM)) = 2._EB/(MESHES(NM-1)%DX(MESHES(NM-1)%IBAR)+M%DX(1)),yes,yes,design,"The tunnel pre-conditioner assumes meshes numbered consecutively along x (NM-1 / NM+1 are the x neighbours, pres.f90:541-542, 687-690)."
doc,cons.f90,598,GLOBAL_CONSTANTS,unreached,REAL(EB) :: ALIGNMENT_TOLERANCE=0.001_EB  !< Maximum ratio of sizes of abutting grid cells,n/a,yes,none,"The docstring is misleading: this is the relative tolerance of the fine-span-equals-coarse-width test (init.f90:3195, 3198, 3201), not a maximum cell-size ratio."
interface_min_corner,ccib.f90,15781,CC_COMPUTE_VELOCITY_ERROR,runtime,,no,imported,uses only the first fine cell across a coarse face,from interface_averaging_sites.csv (pick_min_corner)
interface_min_corner,ccib.f90,22887,COPY_CC_MUNKH_TO_UNKH,runtime+setup,OM%MUNKH,no,imported,uses only the first fine cell across a coarse face,from interface_averaging_sites.csv (pick_min_corner_inline)
interface_min_corner,ccib.f90,22889,COPY_CC_MUNKH_TO_UNKH,runtime+setup,OM%MUNKH,no,imported,uses only the first fine cell across a coarse face,from interface_averaging_sites.csv (pick_min_corner_inline)
interface_min_corner,geom.f90,13068,CC_GRID_TAG_RAYTRACE_SINGLE_COVER_WALL,setup,call:CC_GRID_TAG_BLOCK_CELL_PAIR,no,imported,uses only the first fine cell across a coarse face,from interface_averaging_sites.csv (pick_min_corner)
interface_min_corner,geom.f90,13083,CC_GRID_TAG_RAYTRACE_SINGLE_COVER_WALL,setup,,no,imported,uses only the first fine cell across a coarse face,from interface_averaging_sites.csv (pick_min_corner)
interface_min_corner,geom.f90,13263,CC_GRID_TAG_NONRAY_SINGLE_COVER_WALL,setup,M2%FCVAR,no,imported,uses only the first fine cell across a coarse face,from interface_averaging_sites.csv (pick_min_corner)
interface_min_corner,init.f90,1092,INITIALIZE_MESH_VARIABLES_2,setup,OM%CELL_INDEX; M%EXTERNAL_WALL; M%EXTERNAL_WALL,no,imported,uses only the first fine cell across a coarse face,from interface_averaging_sites.csv (pick_min_corner_inline)
